ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source
amel1241-affix-order,amel1241,affix-order,V-U-A,affix-order-v-u-a,,
amel1241-affix-position,amel1241,affix-position,suffix,affix-position-suffix,,
amel1241-clause-level-order,amel1241,clause-level-order,SOV,clause-level-order-sov,,
amel1241-recipient-vs-theme,amel1241,recipient-vs-theme,R=T,recipient-vs-theme-r-t,,
amel1241-recipient-suppletion,amel1241,recipient-suppletion,suppletion,recipient-suppletion-suppletion,,
duna1248-affix-order,duna1248,affix-order,other,affix-order-other,,
duna1248-affix-position,duna1248,affix-position,none,affix-position-none,,
duna1248-clause-level-order,duna1248,clause-level-order,SOV,clause-level-order-sov,,
duna1248-recipient-vs-theme,duna1248,recipient-vs-theme,R=T,recipient-vs-theme-r-t,,
duna1248-recipient-suppletion,duna1248,recipient-suppletion,no,recipient-suppletion-no,,
fore1270-affix-order,fore1270,affix-order,U-V-A,affix-order-u-v-a,,
fore1270-affix-position,fore1270,affix-position,prefix,affix-position-prefix,,
fore1270-clause-level-order,fore1270,clause-level-order,SOV,clause-level-order-sov,,
fore1270-recipient-vs-theme,fore1270,recipient-vs-theme,R=T,recipient-vs-theme-r-t,,
fore1270-recipient-suppletion,fore1270,recipient-suppletion,no,recipient-suppletion-no,,
goli1247-affix-order,goli1247,affix-order,V-A,affix-order-v-a,,
goli1247-affix-position,goli1247,affix-position,none,affix-position-none,,
goli1247-clause-level-order,goli1247,clause-level-order,SOV,clause-level-order-sov,,
goli1247-recipient-vs-theme,goli1247,recipient-vs-theme,R=T,recipient-vs-theme-r-t,,
goli1247-recipient-suppletion,goli1247,recipient-suppletion,no,recipient-suppletion-no,,
huaa1250-affix-order,huaa1250,affix-order,other,affix-order-other,,
huaa1250-affix-position,huaa1250,affix-position,prefix,affix-position-prefix,,
huaa1250-clause-level-order,huaa1250,clause-level-order,SOV,clause-level-order-sov,,
huaa1250-recipient-vs-theme,huaa1250,recipient-vs-theme,R=T,recipient-vs-theme-r-t,,
huaa1250-recipient-suppletion,huaa1250,recipient-suppletion,no,recipient-suppletion-no,,
kalu1248-affix-order,kalu1248,affix-order,V-A,affix-order-v-a,,
kalu1248-affix-position,kalu1248,affix-position,none,affix-position-none,,
kalu1248-clause-level-order,kalu1248,clause-level-order,SOV,clause-level-order-sov,,
kalu1248-recipient-vs-theme,kalu1248,recipient-vs-theme,R and T different,recipient-vs-theme-r-and-t-different,,
kalu1248-recipient-suppletion,kalu1248,recipient-suppletion,no,recipient-suppletion-no,,
kamo1255-affix-order,kamo1255,affix-order,V-U-A,affix-order-v-u-a,,
kamo1255-affix-position,kamo1255,affix-position,suffix,affix-position-suffix,,
kamo1255-clause-level-order,kamo1255,clause-level-order,SOV,clause-level-order-sov,,
kamo1255-recipient-vs-theme,kamo1255,recipient-vs-theme,R=T,recipient-vs-theme-r-t,,
kamo1255-recipient-suppletion,kamo1255,recipient-suppletion,no,recipient-suppletion-no,,
kana1288-affix-order,kana1288,affix-order,other,affix-order-other,,
kana1288-affix-position,kana1288,affix-position,prefix/suffix,affix-position-prefix-suffix,,
kana1288-clause-level-order,kana1288,clause-level-order,SOV,clause-level-order-sov,,
kana1288-recipient-vs-theme,kana1288,recipient-vs-theme,R=T,recipient-vs-theme-r-t,,
kana1288-recipient-suppletion,kana1288,recipient-suppletion,no,recipient-suppletion-no,,
rawa1267-affix-order,rawa1267,affix-order,U-V-A/V-U-A,affix-order-u-v-a-v-u-a,,
rawa1267-affix-position,rawa1267,affix-position,prefix/suffix,affix-position-prefix-suffix,,
rawa1267-clause-level-order,rawa1267,clause-level-order,SOV,clause-level-order-sov,,
rawa1267-recipient-vs-theme,rawa1267,recipient-vs-theme,R=T,recipient-vs-theme-r-t,,
rawa1267-recipient-suppletion,rawa1267,recipient-suppletion,no,recipient-suppletion-no,,
west2599-affix-order,west2599,affix-order,V-A,affix-order-v-a,,
west2599-affix-position,west2599,affix-position,none,affix-position-none,,
west2599-clause-level-order,west2599,clause-level-order,SOV,clause-level-order-sov,,
west2599-recipient-vs-theme,west2599,recipient-vs-theme,R=T,recipient-vs-theme-r-t,,
west2599-recipient-suppletion,west2599,recipient-suppletion,suppletion,recipient-suppletion-suppletion,,
kobo1249-affix-order,kobo1249,affix-order,V-A,affix-order-v-a,,
kobo1249-affix-position,kobo1249,affix-position,none,affix-position-none,,
kobo1249-clause-level-order,kobo1249,clause-level-order,SOV,clause-level-order-sov,,
kobo1249-recipient-vs-theme,kobo1249,recipient-vs-theme,R=T,recipient-vs-theme-r-t,,
kobo1249-recipient-suppletion,kobo1249,recipient-suppletion,no,recipient-suppletion-no,,
gras1249-affix-order,gras1249,affix-order,other,affix-order-other,,
gras1249-affix-position,gras1249,affix-position,suffix,affix-position-suffix,,
gras1249-clause-level-order,gras1249,clause-level-order,SOV,clause-level-order-sov,,
gras1249-recipient-vs-theme,gras1249,recipient-vs-theme,R=T,recipient-vs-theme-r-t,,
gras1249-recipient-suppletion,gras1249,recipient-suppletion,no,recipient-suppletion-no,,
kora1294-affix-order,kora1294,affix-order,V-A,affix-order-v-a,,
kora1294-affix-position,kora1294,affix-position,none,affix-position-none,,
kora1294-clause-level-order,kora1294,clause-level-order,SOV,clause-level-order-sov,,
kora1294-recipient-vs-theme,kora1294,recipient-vs-theme,R=T,recipient-vs-theme-r-t,,
kora1294-recipient-suppletion,kora1294,recipient-suppletion,no,recipient-suppletion-no,,
kesa1244-affix-order,kesa1244,affix-order,V-U-A,affix-order-v-u-a,,
kesa1244-affix-position,kesa1244,affix-position,suffix,affix-position-suffix,,
kesa1244-clause-level-order,kesa1244,clause-level-order,SOV,clause-level-order-sov,,
kesa1244-recipient-vs-theme,kesa1244,recipient-vs-theme,R=T,recipient-vs-theme-r-t,,
kesa1244-recipient-suppletion,kesa1244,recipient-suppletion,suppletion,recipient-suppletion-suppletion,,
koro1312-affix-order,koro1312,affix-order,V-A,affix-order-v-a,,
koro1312-affix-position,koro1312,affix-position,none,affix-position-none,,
koro1312-clause-level-order,koro1312,clause-level-order,SOV,clause-level-order-sov,,
koro1312-recipient-vs-theme,koro1312,recipient-vs-theme,R=T,recipient-vs-theme-r-t,,
koro1312-recipient-suppletion,koro1312,recipient-suppletion,no,recipient-suppletion-no,,
mauw1238-affix-order,mauw1238,affix-order,U-V-A,affix-order-u-v-a,,
mauw1238-affix-position,mauw1238,affix-position,prefix,affix-position-prefix,,
mauw1238-clause-level-order,mauw1238,clause-level-order,SOV,clause-level-order-sov,,
mauw1238-recipient-vs-theme,mauw1238,recipient-vs-theme,R=T,recipient-vs-theme-r-t,,
mauw1238-recipient-suppletion,mauw1238,recipient-suppletion,suppletion,recipient-suppletion-suppletion,,
meny1245-affix-order,meny1245,affix-order,U-V-A,affix-order-u-v-a,,
meny1245-affix-position,meny1245,affix-position,prefix,affix-position-prefix,,
meny1245-clause-level-order,meny1245,clause-level-order,SOV,clause-level-order-sov,,
meny1245-recipient-vs-theme,meny1245,recipient-vs-theme,R=T,recipient-vs-theme-r-t,,
meny1245-recipient-suppletion,meny1245,recipient-suppletion,suppletion,recipient-suppletion-suppletion,,
mian1256-affix-order,mian1256,affix-order,U-V-A,affix-order-u-v-a,,
mian1256-affix-position,mian1256,affix-position,prefix,affix-position-prefix,,
mian1256-clause-level-order,mian1256,clause-level-order,SOV,clause-level-order-sov,,
mian1256-recipient-vs-theme,mian1256,recipient-vs-theme,R=beneficiary,recipient-vs-theme-r-beneficiary,,
mian1256-recipient-suppletion,mian1256,recipient-suppletion,no,recipient-suppletion-no,,
naba1256-affix-order,naba1256,affix-order,U-V-A,affix-order-u-v-a,,
naba1256-affix-position,naba1256,affix-position,prefix,affix-position-prefix,,
naba1256-clause-level-order,naba1256,clause-level-order,SOV,clause-level-order-sov,,
naba1256-recipient-vs-theme,naba1256,recipient-vs-theme,R=T,recipient-vs-theme-r-t,,
naba1256-recipient-suppletion,naba1256,recipient-suppletion,no,recipient-suppletion-no,,
ngge1241-affix-order,ngge1241,affix-order,V-U-A,affix-order-v-u-a,,
ngge1241-affix-position,ngge1241,affix-position,suffix,affix-position-suffix,,
ngge1241-clause-level-order,ngge1241,clause-level-order,SOV,clause-level-order-sov,,
ngge1241-recipient-vs-theme,ngge1241,recipient-vs-theme,R=T,recipient-vs-theme-r-t,,
ngge1241-recipient-suppletion,ngge1241,recipient-suppletion,no,recipient-suppletion-no,,
salt1242-affix-order,salt1242,affix-order,V-A,affix-order-v-a,,
salt1242-affix-position,salt1242,affix-position,none,affix-position-none,,
salt1242-clause-level-order,salt1242,clause-level-order,SOV,clause-level-order-sov,,
salt1242-recipient-vs-theme,salt1242,recipient-vs-theme,R=T,recipient-vs-theme-r-t,,
salt1242-recipient-suppletion,salt1242,recipient-suppletion,no,recipient-suppletion-no,,
sele1250-affix-order,sele1250,affix-order,U-V-A/V-U-A,affix-order-u-v-a-v-u-a,,
sele1250-affix-position,sele1250,affix-position,prefix/suffix,affix-position-prefix-suffix,,
sele1250-clause-level-order,sele1250,clause-level-order,SOV,clause-level-order-sov,,
sele1250-recipient-vs-theme,sele1250,recipient-vs-theme,R=T,recipient-vs-theme-r-t,,
sele1250-recipient-suppletion,sele1250,recipient-suppletion,suppletion,recipient-suppletion-suppletion,,
siro1249-affix-order,siro1249,affix-order,V-U-A,affix-order-v-u-a,,
siro1249-affix-position,siro1249,affix-position,suffix,affix-position-suffix,,
siro1249-clause-level-order,siro1249,clause-level-order,SOV,clause-level-order-sov,,
siro1249-recipient-vs-theme,siro1249,recipient-vs-theme,R=T,recipient-vs-theme-r-t,,
siro1249-recipient-suppletion,siro1249,recipient-suppletion,suppletion,recipient-suppletion-suppletion,,
suen1241-affix-order,suen1241,affix-order,V-A,affix-order-v-a,,
suen1241-affix-position,suen1241,affix-position,none,affix-position-none,,
suen1241-clause-level-order,suen1241,clause-level-order,SOV,clause-level-order-sov,,
suen1241-recipient-vs-theme,suen1241,recipient-vs-theme,R and T different,recipient-vs-theme-r-and-t-different,,
suen1241-recipient-suppletion,suen1241,recipient-suppletion,no,recipient-suppletion-no,,
tain1253-affix-order,tain1253,affix-order,other,affix-order-other,,
tain1253-affix-position,tain1253,affix-position,suffix,affix-position-suffix,,
tain1253-clause-level-order,tain1253,clause-level-order,SOV,clause-level-order-sov,,
tain1253-recipient-vs-theme,tain1253,recipient-vs-theme,R=T,recipient-vs-theme-r-t,,
tain1253-recipient-suppletion,tain1253,recipient-suppletion,suppletion,recipient-suppletion-suppletion,,
tauy1241-affix-order,tauy1241,affix-order,U-V-A,affix-order-u-v-a,,
tauy1241-affix-position,tauy1241,affix-position,prefix,affix-position-prefix,,
tauy1241-clause-level-order,tauy1241,clause-level-order,SOV,clause-level-order-sov,,
tauy1241-recipient-vs-theme,tauy1241,recipient-vs-theme,R=T,recipient-vs-theme-r-t,,
tauy1241-recipient-suppletion,tauy1241,recipient-suppletion,no,recipient-suppletion-no,,
tele1256-affix-order,tele1256,affix-order,U-V-A,affix-order-u-v-a,,
tele1256-affix-position,tele1256,affix-position,prefix,affix-position-prefix,,
tele1256-clause-level-order,tele1256,clause-level-order,SOV,clause-level-order-sov,,
tele1256-recipient-vs-theme,tele1256,recipient-vs-theme,R=beneficiary,recipient-vs-theme-r-beneficiary,,
tele1256-recipient-suppletion,tele1256,recipient-suppletion,no,recipient-suppletion-no,,
uman1240-affix-order,uman1240,affix-order,U-V-A/V-U-A,affix-order-u-v-a-v-u-a,,
uman1240-affix-position,uman1240,affix-position,prefix/suffix,affix-position-prefix-suffix,,
uman1240-clause-level-order,uman1240,clause-level-order,SOV,clause-level-order-sov,,
uman1240-recipient-vs-theme,uman1240,recipient-vs-theme,R=T,recipient-vs-theme-r-t,,
uman1240-recipient-suppletion,uman1240,recipient-suppletion,suppletion,recipient-suppletion-suppletion,,
unaa1239-affix-order,unaa1239,affix-order,V-U-A,affix-order-v-u-a,,
unaa1239-affix-position,unaa1239,affix-position,suffix,affix-position-suffix,,
unaa1239-clause-level-order,unaa1239,clause-level-order,SOV,clause-level-order-sov,,
unaa1239-recipient-vs-theme,unaa1239,recipient-vs-theme,R=T,recipient-vs-theme-r-t,,
unaa1239-recipient-suppletion,unaa1239,recipient-suppletion,no,recipient-suppletion-no,,
usan1239-affix-order,usan1239,affix-order,other,affix-order-other,,
usan1239-affix-position,usan1239,affix-position,prefix,affix-position-prefix,,
usan1239-clause-level-order,usan1239,clause-level-order,SOV,clause-level-order-sov,,
usan1239-recipient-vs-theme,usan1239,recipient-vs-theme,R=T,recipient-vs-theme-r-t,,
usan1239-recipient-suppletion,usan1239,recipient-suppletion,suppletion,recipient-suppletion-suppletion,,
wamb1259-affix-order,wamb1259,affix-order,V-A,affix-order-v-a,,
wamb1259-affix-position,wamb1259,affix-position,none,affix-position-none,,
wamb1259-clause-level-order,wamb1259,clause-level-order,SOV,clause-level-order-sov,,
wamb1259-recipient-vs-theme,wamb1259,recipient-vs-theme,R and T different,recipient-vs-theme-r-and-t-different,,
wamb1259-recipient-suppletion,wamb1259,recipient-suppletion,no,recipient-suppletion-no,,
wask1241-affix-order,wask1241,affix-order,other,affix-order-other,,
wask1241-affix-position,wask1241,affix-position,suffix,affix-position-suffix,,
wask1241-clause-level-order,wask1241,clause-level-order,SOV,clause-level-order-sov,,
wask1241-recipient-vs-theme,wask1241,recipient-vs-theme,R=T,recipient-vs-theme-r-t,,
wask1241-recipient-suppletion,wask1241,recipient-suppletion,suppletion,recipient-suppletion-suppletion,,
yaga1260-affix-order,yaga1260,affix-order,other,affix-order-other,,
yaga1260-affix-position,yaga1260,affix-position,prefix,affix-position-prefix,,
yaga1260-clause-level-order,yaga1260,clause-level-order,SOV,clause-level-order-sov,,
yaga1260-recipient-vs-theme,yaga1260,recipient-vs-theme,R=T,recipient-vs-theme-r-t,,
yaga1260-recipient-suppletion,yaga1260,recipient-suppletion,no,recipient-suppletion-no,,
abau1245-affix-order,abau1245,affix-order,other,affix-order-other,,
abau1245-affix-position,abau1245,affix-position,none,affix-position-none,,
abau1245-clause-level-order,abau1245,clause-level-order,SOV,clause-level-order-sov,,
abau1245-recipient-vs-theme,abau1245,recipient-vs-theme,R=T,recipient-vs-theme-r-t,,
abau1245-recipient-suppletion,abau1245,recipient-suppletion,no,recipient-suppletion-no,,
abui1241-affix-order,abui1241,affix-order,other,affix-order-other,,
abui1241-affix-position,abui1241,affix-position,prefix,affix-position-prefix,,
abui1241-clause-level-order,abui1241,clause-level-order,SOV,clause-level-order-sov,,
abui1241-recipient-vs-theme,abui1241,recipient-vs-theme,R=T,recipient-vs-theme-r-t,,
abui1241-recipient-suppletion,abui1241,recipient-suppletion,no,recipient-suppletion-no,,
alam1246-affix-order,alam1246,affix-order,V-A-U,affix-order-v-a-u,,
alam1246-affix-position,alam1246,affix-position,suffix,affix-position-suffix,,
alam1246-clause-level-order,alam1246,clause-level-order,SOV,clause-level-order-sov,,
alam1246-recipient-vs-theme,alam1246,recipient-vs-theme,R=T,recipient-vs-theme-r-t,,
alam1246-recipient-suppletion,alam1246,recipient-suppletion,no,recipient-suppletion-no,,
ambu1247-affix-order,ambu1247,affix-order,V-S/A,affix-order-v-s-a,,
ambu1247-affix-position,ambu1247,affix-position,none,affix-position-none,,
ambu1247-clause-level-order,ambu1247,clause-level-order,SVO/SOV,clause-level-order-svo-sov,,
ambu1247-recipient-vs-theme,ambu1247,recipient-vs-theme,R=T,recipient-vs-theme-r-t,,
ambu1247-recipient-suppletion,ambu1247,recipient-suppletion,suppletion,recipient-suppletion-suppletion,,
aram1253-affix-order,aram1253,affix-order,U-V-A,affix-order-u-v-a,,
aram1253-affix-position,aram1253,affix-position,prefix,affix-position-prefix,,
aram1253-clause-level-order,aram1253,clause-level-order,SOV,clause-level-order-sov,,
aram1253-recipient-vs-theme,aram1253,recipient-vs-theme,R=T,recipient-vs-theme-r-t,,
aram1253-recipient-suppletion,aram1253,recipient-suppletion,no,recipient-suppletion-no,,
bauz1241-affix-order,bauz1241,affix-order,other,affix-order-other,,
bauz1241-affix-position,bauz1241,affix-position,none,affix-position-none,,
bauz1241-clause-level-order,bauz1241,clause-level-order,SOV,clause-level-order-sov,,
bauz1241-recipient-vs-theme,bauz1241,recipient-vs-theme,R and T different,recipient-vs-theme-r-and-t-different,,
bauz1241-recipient-suppletion,bauz1241,recipient-suppletion,no,recipient-suppletion-no,,
bine1240-affix-order,bine1240,affix-order,U-V-A,affix-order-u-v-a,,
bine1240-affix-position,bine1240,affix-position,prefix,affix-position-prefix,,
bine1240-clause-level-order,bine1240,clause-level-order,SOV,clause-level-order-sov,,
bine1240-recipient-vs-theme,bine1240,recipient-vs-theme,R=T,recipient-vs-theme-r-t,,
bine1240-recipient-suppletion,bine1240,recipient-suppletion,no,recipient-suppletion-no,,
buki1249-affix-order,buki1249,affix-order,A-U-V/ A-V-U,affix-order-a-u-v--a-v-u,,
buki1249-affix-position,buki1249,affix-position,prefix/suffix,affix-position-prefix-suffix,,
buki1249-clause-level-order,buki1249,clause-level-order,SVO,clause-level-order-svo,,
buki1249-recipient-vs-theme,buki1249,recipient-vs-theme,R=T,recipient-vs-theme-r-t,,
buki1249-recipient-suppletion,buki1249,recipient-suppletion,no,recipient-suppletion-no,,
buna1278-affix-order,buna1278,affix-order,other,affix-order-other,,
buna1278-affix-position,buna1278,affix-position,prefix,affix-position-prefix,,
buna1278-clause-level-order,buna1278,clause-level-order,SOV,clause-level-order-sov,,
buna1278-recipient-vs-theme,buna1278,recipient-vs-theme,R=T,recipient-vs-theme-r-t,,
buna1278-recipient-suppletion,buna1278,recipient-suppletion,no,recipient-suppletion-no,,
gizr1240-affix-order,gizr1240,affix-order,U-V-A,affix-order-u-v-a,,
gizr1240-affix-position,gizr1240,affix-position,prefix,affix-position-prefix,,
gizr1240-clause-level-order,gizr1240,clause-level-order,SOV,clause-level-order-sov,,
gizr1240-recipient-vs-theme,gizr1240,recipient-vs-theme,R=T,recipient-vs-theme-r-t,,
gizr1240-recipient-suppletion,gizr1240,recipient-suppletion,no,recipient-suppletion-no,,
hata1243-affix-order,hata1243,affix-order,S/A-V,affix-order-s-a-v,,
hata1243-affix-position,hata1243,affix-position,none,affix-position-none,,
